127.0.0.1 - - [18/Nov/2024:11:25:05 +0900] "GET / HTTP/1.1" 200 116
199.45.155.96 - - [18/Nov/2024:11:59:22 +0900] "-" 400 2149
199.45.155.96 - - [18/Nov/2024:11:59:23 +0900] "GET /api/v1/targets HTTP/1.1" 404 829
199.45.155.96 - - [18/Nov/2024:11:59:24 +0900] "GET /api/v1/targets HTTP/1.1" 404 829
199.45.155.96 - - [18/Nov/2024:11:59:24 +0900] "GET /api/v1/label/version/values HTTP/1.1" 404 850
199.45.155.96 - - [18/Nov/2024:11:59:24 +0900] "GET /api/v1/label/version/values HTTP/1.1" 404 850
199.45.155.96 - - [18/Nov/2024:11:59:24 +0900] "GET /api/v1/label/goversion/values HTTP/1.1" 404 852
199.45.155.96 - - [18/Nov/2024:11:59:25 +0900] "GET /api/v1/label/goversion/values HTTP/1.1" 404 852
199.45.155.96 - - [18/Nov/2024:11:59:25 +0900] "GET /api/v1/query?query=prometheus_build_info HTTP/1.1" 404 827
199.45.155.96 - - [18/Nov/2024:11:59:25 +0900] "GET /api/v1/query?query=prometheus_build_info HTTP/1.1" 404 827
199.45.155.96 - - [18/Nov/2024:11:59:25 +0900] "GET /api/v1/labels HTTP/1.1" 404 828
199.45.155.96 - - [18/Nov/2024:11:59:25 +0900] "GET /api/v1/labels HTTP/1.1" 404 828
199.45.155.96 - - [18/Nov/2024:11:59:25 +0900] "GET /api/v1/label/__name__/values HTTP/1.1" 404 851
199.45.155.96 - - [18/Nov/2024:11:59:26 +0900] "GET /api/v1/label/__name__/values HTTP/1.1" 404 851
199.45.155.96 - - [18/Nov/2024:11:59:26 +0900] "GET /api/v1/status/config HTTP/1.1" 404 839
199.45.155.96 - - [18/Nov/2024:11:59:26 +0900] "GET / HTTP/1.1" 200 116
199.45.155.96 - - [18/Nov/2024:11:59:35 +0900] "-" 400 2149
199.45.155.96 - - [18/Nov/2024:11:59:38 +0900] "GET / HTTP/1.1" 200 116
199.45.155.96 - - [18/Nov/2024:11:59:47 +0900] "GET / HTTP/1.1" 200 116
199.45.155.96 - - [18/Nov/2024:11:59:48 +0900] "GET /favicon.ico HTTP/1.1" 200 21630
162.216.149.179 - - [18/Nov/2024:12:45:42 +0900] "GET / HTTP/1.1" 200 116
35.179.166.155 - - [18/Nov/2024:12:49:05 +0900] "-" 400 2149
154.212.141.156 - - [18/Nov/2024:12:51:13 +0900] "GET / HTTP/1.1" 200 116
35.179.166.155 - - [18/Nov/2024:12:51:20 +0900] "-" 400 2149
35.179.166.155 - - [18/Nov/2024:12:53:22 +0900] "-" 400 2149
35.179.166.155 - - [18/Nov/2024:12:54:48 +0900] "GET /favicon.ico HTTP/1.1" 200 21630
35.179.166.155 - - [18/Nov/2024:12:56:30 +0900] "-" 400 2149
194.165.16.10 - - [18/Nov/2024:12:57:45 +0900] "-" 400 2149
35.179.166.155 - - [18/Nov/2024:12:58:38 +0900] "GET /manage/account/login HTTP/1.1" 404 835
