127.0.0.1 - - [14/Nov/2024:14:36:24 +0900] "GET / HTTP/1.1" 200 116
172.10.12.45 - - [14/Nov/2024:14:36:29 +0900] "GET /nexacroN_v24/24.0.0.420/RP_aaaa/launch.html?screenid=Desktop_screen HTTP/1.1" 200 11056
172.10.12.45 - - [14/Nov/2024:14:36:29 +0900] "GET /nexacroN_v24/24.0.0.420/RP_aaaa/nexacrolib/framework/LocaleSupport.js HTTP/1.1" 200 93754
172.10.12.45 - - [14/Nov/2024:14:36:29 +0900] "GET /nexacroN_v24/24.0.0.420/RP_aaaa/nexacrolib/framework/SystemBase.js HTTP/1.1" 200 419680
172.10.12.45 - - [14/Nov/2024:14:36:29 +0900] "GET /nexacroN_v24/24.0.0.420/RP_aaaa/nexacrolib/framework/SystemBase_HTML5.js HTTP/1.1" 200 643135
172.10.12.45 - - [14/Nov/2024:14:36:29 +0900] "GET /nexacroN_v24/24.0.0.420/RP_aaaa/nexacrolib/framework/BasicObjs.js HTTP/1.1" 200 133790
172.10.12.45 - - [14/Nov/2024:14:36:29 +0900] "GET /nexacroN_v24/24.0.0.420/RP_aaaa/nexacrolib/framework/SystemBase_Runtime.js HTTP/1.1" 200 348336
172.10.12.45 - - [14/Nov/2024:14:36:29 +0900] "GET /nexacroN_v24/24.0.0.420/RP_aaaa/nexacrolib/framework/ErrorDefine.js HTTP/1.1" 200 56973
172.10.12.45 - - [14/Nov/2024:14:36:29 +0900] "GET /nexacroN_v24/24.0.0.420/RP_aaaa/nexacrolib/framework/Platform_HTML5.js HTTP/1.1" 200 201084
172.10.12.45 - - [14/Nov/2024:14:36:29 +0900] "GET /nexacroN_v24/24.0.0.420/RP_aaaa/nexacrolib/framework/Platform_Runtime.js HTTP/1.1" 200 82091
172.10.12.45 - - [14/Nov/2024:14:36:29 +0900] "GET /nexacroN_v24/24.0.0.420/RP_aaaa/nexacrolib/framework/Platform.js HTTP/1.1" 200 740388
172.10.12.45 - - [14/Nov/2024:14:36:29 +0900] "GET /nexacroN_v24/24.0.0.420/RP_aaaa/nexacrolib/framework/CssObjs.js HTTP/1.1" 200 56326
172.10.12.45 - - [14/Nov/2024:14:36:29 +0900] "GET /nexacroN_v24/24.0.0.420/RP_aaaa/nexacrolib/framework/Device_Android.js HTTP/1.1" 200 5188
172.10.12.45 - - [14/Nov/2024:14:36:29 +0900] "GET /nexacroN_v24/24.0.0.420/RP_aaaa/nexacrolib/framework/Device.js HTTP/1.1" 200 32312
172.10.12.45 - - [14/Nov/2024:14:36:29 +0900] "GET /nexacroN_v24/24.0.0.420/RP_aaaa/nexacrolib/framework/Device_Windows.js HTTP/1.1" 200 2115
172.10.12.45 - - [14/Nov/2024:14:36:29 +0900] "GET /nexacroN_v24/24.0.0.420/RP_aaaa/nexacrolib/framework/Device_iOS.js HTTP/1.1" 200 11177
