127.0.0.1 - - [05/Nov/2024:11:03:55 +0900] "GET / HTTP/1.1" 200 116
172.10.12.45 - - [05/Nov/2024:11:04:07 +0900] "GET /JEBI_TC/launch.html?screenid=Desktop_screen HTTP/1.1" 200 3276
172.10.12.45 - - [05/Nov/2024:11:04:07 +0900] "GET /JEBI_TC/nexacrolib/framework/Framework.js HTTP/1.1" 304 -
172.10.12.45 - - [05/Nov/2024:11:04:07 +0900] "GET /JEBI_TC/nexacrolib/component/CompBase.js HTTP/1.1" 304 -
172.10.12.45 - - [05/Nov/2024:11:04:07 +0900] "GET /JEBI_TC/nexacrolib/component/Grid.js HTTP/1.1" 304 -
172.10.12.45 - - [05/Nov/2024:11:04:07 +0900] "GET /JEBI_TC/nexacrolib/component/MobileComp.js HTTP/1.1" 304 -
172.10.12.45 - - [05/Nov/2024:11:04:07 +0900] "GET /JEBI_TC/nexacrolib/component/DeviceAPI.js HTTP/1.1" 304 -
172.10.12.45 - - [05/Nov/2024:11:04:07 +0900] "GET /JEBI_TC/nexacrolib/component/ListView.js HTTP/1.1" 304 -
172.10.12.45 - - [05/Nov/2024:11:04:07 +0900] "GET /JEBI_TC/nexacrolib/component/ComComp.js HTTP/1.1" 304 -
172.10.12.45 - - [05/Nov/2024:11:04:07 +0900] "GET /JEBI_TC/environment.xml.js HTTP/1.1" 200 5780
172.10.12.45 - - [05/Nov/2024:11:04:07 +0900] "GET /JEBI_TC/Application_Desktop.xadl.js HTTP/1.1" 200 6115
172.10.12.45 - - [05/Nov/2024:11:04:07 +0900] "GET /JEBI_TC/_resource_/_theme_/blue/theme.desktop.map.js HTTP/1.1" 200 228170
172.10.12.45 - - [05/Nov/2024:11:04:07 +0900] "GET /JEBI_TC/_resource_/_theme_/blue/theme_desktop_chrome.css HTTP/1.1" 200 97118
172.10.12.45 - - [05/Nov/2024:11:04:07 +0900] "GET /NexacroN_client_license.xml HTTP/1.1" 200 895
172.10.12.45 - - [05/Nov/2024:11:04:07 +0900] "GET /JEBI_TC/FrameBase/Form_Work.xfdl.js HTTP/1.1" 304 -
172.10.12.45 - - [05/Nov/2024:11:04:07 +0900] "GET /JEBI_TC/Base/frmTCList.xfdl.js HTTP/1.1" 304 -
172.10.12.45 - - [05/Nov/2024:11:04:07 +0900] "GET /JEBI_TC/Base/frmExport.xfdl.js HTTP/1.1" 304 -
172.10.12.45 - - [05/Nov/2024:11:04:07 +0900] "GET /JEBI_TC/Base/frmImport.xfdl.js HTTP/1.1" 304 -
172.10.12.45 - - [05/Nov/2024:11:04:08 +0900] "GET /JEBI_TC/_resource_/_theme_/blue/images/btn_WF_Vdec.png HTTP/1.1" 304 -
172.10.12.45 - - [05/Nov/2024:11:04:08 +0900] "GET /JEBI_TC/_resource_/_theme_/blue/images/btn_WF_Vinc.png HTTP/1.1" 304 -
172.10.12.45 - - [05/Nov/2024:11:04:08 +0900] "GET /JEBI_TC/_resource_/_theme_/blue/images/btn_WF_Hinc.png HTTP/1.1" 304 -
172.10.12.45 - - [05/Nov/2024:11:04:08 +0900] "GET /JEBI_TC/_resource_/_theme_/blue/images/btn_WF_Hdec_D.png HTTP/1.1" 304 -
172.10.12.45 - - [05/Nov/2024:11:04:08 +0900] "GET /JEBI_TC/_resource_/_theme_/blue/images/btn_WF_Hinc_D.png HTTP/1.1" 304 -
172.10.12.45 - - [05/Nov/2024:11:04:08 +0900] "GET /JEBI_TC/_resource_/_theme_/blue/images/btn_WF_Hdec.png HTTP/1.1" 304 -
172.10.12.45 - - [05/Nov/2024:11:04:08 +0900] "GET /JEBI_TC/_resource_/_theme_/blue/images/btn_WF_Vdec_D.png HTTP/1.1" 304 -
172.10.12.45 - - [05/Nov/2024:11:04:08 +0900] "GET /JEBI_TC/_resource_/_theme_/blue/images/btn_WF_Vinc_D.png HTTP/1.1" 304 -
172.10.12.45 - - [05/Nov/2024:11:04:08 +0900] "GET /JEBI_TC/_resource_/_theme_/blue/images/chk_WF_Box.png HTTP/1.1" 304 -
172.10.12.45 - - [05/Nov/2024:11:04:08 +0900] "GET /JEBI_TC/_resource_/_theme_/blue/images/cmb_WF_Drop.png HTTP/1.1" 304 -
172.10.12.45 - - [05/Nov/2024:11:04:08 +0900] "GET /JEBI_TC/_resource_/_theme_/blue/images/rdo_WF_Radio_S.png HTTP/1.1" 304 -
172.10.12.45 - - [05/Nov/2024:11:04:08 +0900] "GET /JEBI_TC/_resource_/_theme_/blue/images/rdo_WF_Radio.png HTTP/1.1" 304 -
172.10.12.45 - - [05/Nov/2024:11:04:09 +0900] "GET /JEBI_TC/_resource_/_theme_/blue/images/rdo_WF_Radio_O.png HTTP/1.1" 304 -
172.10.12.45 - - [05/Nov/2024:11:04:13 +0900] "GET /JEBI_TC/_resource_/_theme_/blue/images/cmb_WF_Drop_O.png HTTP/1.1" 304 -
172.10.12.45 - - [05/Nov/2024:11:04:13 +0900] "GET /JEBI_TC/_resource_/_theme_/blue/images/cmb_WF_Drop_P.png HTTP/1.1" 200 967
